"division","gender","age_group","education","number","cell_proportion_of_division_total"
"Barker","Male","ages18to29","gradDipDipCertIIIandIV",3257,0.0297445638772957
"Barker","Male","ages18to29","highSchoolorCertIorIIorLess",5545,0.0506397318696974
"Barker","Male","ages18to29","postgraduateDegree",43,0.000392697650206851
"Barker","Male","ages30to44","bachelorDegree",1089,0.00994529630407584
"Barker","Male","ages30to44","gradDipDipCertIIIandIV",5513,0.0503474917579156
"Barker","Male","ages30to44","highSchoolorCertIorIIorLess",5095,0.0465301052977653
"Barker","Male","ages30to44","postgraduateDegree",195,0.0017808381811706
"Barker","Male","ages45to59","bachelorDegree",853,0.00779002547968475
"Barker","Male","ages45to59","gradDipDipCertIIIandIV",6082,0.0555438862455365
"Barker","Male","ages45to59","highSchoolorCertIorIIorLess",8118,0.0741376633576562
"Barker","Male","ages45to59","postgraduateDegree",198,0.00180823569165015
"Barker","Male","ages60plus","bachelorDegree",876,0.00800007306002795
"Barker","Male","ages60plus","gradDipDipCertIIIandIV",5860,0.05351647047005
"Barker","Male","ages60plus","highSchoolorCertIorIIorLess",11248,0.102722399291318
"Barker","Male","ages60plus","postgraduateDegree",206,0.00188129571959561
"Barton","Female","ages18to29","bachelorDegree",5063,0.0420553372816453
"Barton","Female","ages18to29","gradDipDipCertIIIandIV",2775,0.0230502786799458
"Barton","Female","ages18to29","highSchoolorCertIorIIorLess",6509,0.0540664014154117
"Barton","Female","ages18to29","postgraduateDegree",1699,0.0141125850368389
"Barton","Female","ages30to44","bachelorDegree",6405,0.0532025351153345
"Barton","Female","ages30to44","gradDipDipCertIIIandIV",4578,0.038026730016862
"Barton","Female","ages30to44","highSchoolorCertIorIIorLess",4342,0.0360664180282252
"Barton","Female","ages30to44","postgraduateDegree",3006,0.0249690586349251
"Barton","Female","ages45to59","bachelorDegree",2654,0.0220452034654329
"Barton","Female","ages45to59","gradDipDipCertIIIandIV",3630,0.0301522564353886
"Barton","Female","ages45to59","highSchoolorCertIorIIorLess",5995,0.0497969083554145
"Barton","Female","ages45to59","postgraduateDegree",956,0.00794092483532549
"Barton","Female","ages60plus","bachelorDegree",1162,0.00965204462201696
"Barton","Female","ages60plus","gradDipDipCertIIIandIV",1787,0.014843548829212
"Barton","Female","ages60plus","highSchoolorCertIorIIorLess",9670,0.0803229530937212
"Barton","Female","ages60plus","postgraduateDegree",278,0.00230918107136034
"Barton","Male","ages18to29","bachelorDegree",4300,0.0357175489455017
"Barton","Male","ages18to29","gradDipDipCertIIIandIV",3239,0.0269044514033674
"Barton","Male","ages18to29","highSchoolorCertIorIIorLess",7524,0.0624974042478964
"Barton","Male","ages18to29","postgraduateDegree",1230,0.0102168802797598
"Barton","Male","ages30to44","bachelorDegree",5482,0.0455357217021489
"Barton","Male","ages30to44","gradDipDipCertIIIandIV",5512,0.0457849139040942
"Barton","Male","ages30to44","highSchoolorCertIorIIorLess",4775,0.0396630921429699
"Barton","Male","ages30to44","postgraduateDegree",2957,0.024562044705081
"Barton","Male","ages45to59","bachelorDegree",2469,0.0205085182201032
"Barton","Male","ages45to59","gradDipDipCertIIIandIV",4341,0.0360581116214937
"Barton","Male","ages45to59","highSchoolorCertIorIIorLess",4938,0.0410170364402063
"Barton","Male","ages45to59","postgraduateDegree",1080,0.00897091927003298
"Barton","Male","ages60plus","bachelorDegree",1342,0.0111471978336891
"Barton","Male","ages60plus","gradDipDipCertIIIandIV",3307,0.0274692870611102
"Barton","Male","ages60plus","highSchoolorCertIorIIorLess",6902,0.0573308192608959
"Barton","Male","ages60plus","postgraduateDegree",482,0.00400368804458879
"Bass","Female","ages18to29","bachelorDegree",959,0.0140069523559139
"Bass","Female","ages18to29","gradDipDipCertIIIandIV",1558,0.0227558204072094
"Bass","Female","ages18to29","highSchoolorCertIorIIorLess",3978,0.0581018315660328
"Bass","Female","ages18to29","postgraduateDegree",113,0.00165045424006076
"Bass","Female","ages30to44","bachelorDegree",1924,0.0281015394502381
"Bass","Female","ages30to44","gradDipDipCertIIIandIV",2710,0.0395816901819881
"Bass","Female","ages30to44","highSchoolorCertIorIIorLess",2980,0.0435252534104519
