"year","division","tpp"
2013,"Bradfield",28.526146654981
2013,"Brand",54.5255498485447
2013,"Brisbane",47.6595469255663
2013,"Bruce",63.2489636535986
2013,"Burt",45.3087573260851
2013,"Calare",35.3161471152827
2013,"Calwell",66.0698545614808
2013,"Canberra",64.7792893461925
2013,"Canning",38.0950790655735
2013,"Capricornia",50.0661654982121
2013,"Casey",44.9684277835505
2013,"Chifley",61.9375253549696
2013,"Chisholm",49.4056714762877
2013,"Clark",59.8352901897502
2013,"Cook",32.3903740343467
2013,"Cooper",72.7699874118095
2013,"Corangamite",48.833288823608
2013,"Corio",57.0097255354287
2013,"Cowan",46.6748644004986
2013,"Cowper",36.4655673677166
2013,"Cunningham",62.1077702447262
2013,"Curtin",31.2502964098835
2013,"Dawson",42.4532886920834
2013,"Deakin",45.1051328781655
2013,"Dickson",44.1686316541622
2013,"Dobell",50.8981013074042
2013,"Dunkley",47.6792255748606
2013,"Durack",34.3322443962868
2013,"Eden-Monaro",47.5685898598409
2013,"Fadden",34.8808030112923
2013,"Fairfax",37.9424431704743
2013,"Farrer",28.5530164080702
2013,"Fenner",59.3477838693775
2013,"Fisher",41.3511722978978
2013,"Flinders",39.8440231684884
2013,"Flynn",45.5946935041171
2013,"Forde",46.8517072478171
2013,"Forrest",36.1547672504116
2013,"Fowler",63.3557828219839
2013,"Franklin",55.2446762440926
2013,"Fraser",68.587967851331
2013,"Fremantle",56.4547206165703
2013,"Gellibrand",64.538424359594
2013,"Gilmore",45.9999023771172
2013,"Gippsland",33.9600560706799
2013,"Goldstein",39.7135902758075
2013,"Gorton",64.4947012747658
2013,"Grayndler",69.5145485825417
2013,"Greenway",54.0072172999758
2013,"Grey",37.342849040552
2013,"Griffith",51.4300363717934
2013,"Groom",34.5059984898907
2013,"Hasluck",44.2579321180639
2013,"Herbert",44.205238607822
2013,"Higgins",40.2126138731313
2013,"Hindmarsh",54.5888394814305
2013,"Hinkler",40.8024472182012
2013,"Holt",55.8729005901044
2013,"Hotham",54.4773556830177
2013,"Hughes",37.6739616874966
2013,"Hume",35.7518202817891
2013,"Hunter",55.5044449679491
2013,"Indi",41.1055875919666
2013,"Isaacs",49.714648065948
2013,"Jagajaga",52.7963432434509
2013,"Kennedy",33.3894873936494
2013,"Kingsford Smith",53.0001283019944
2013,"Kingston",57.4206116307239
2013,"Kooyong",40.3137165101901
2013,"La Trobe",41.8962967941394
2013,"Lalor",63.0312374312911
2013,"Leichhardt",44.0194191010295
2013,"Lilley",50.6992262369561
2013,"Lindsay",46.9253676758705
2013,"Lingiari",46.816595579682
