"date","pollster","party","poll"
1979-12-12,"F2F Morgan","lnp",46
1979-12-12,"F2F Morgan","alp",46
1979-12-12,"F2F Morgan","oth",8
1980-01-16,"F2F Morgan","lnp",47
1980-01-16,"F2F Morgan","alp",47
1980-01-16,"F2F Morgan","oth",6
1980-01-30,"F2F Morgan","lnp",45
1980-01-30,"F2F Morgan","alp",49
1980-01-30,"F2F Morgan","oth",6
1980-02-13,"F2F Morgan","lnp",46
1980-02-13,"F2F Morgan","alp",47
1980-02-13,"F2F Morgan","oth",7
1980-02-27,"F2F Morgan","lnp",44
1980-02-27,"F2F Morgan","alp",47
1980-02-27,"F2F Morgan","oth",9
1980-03-12,"F2F Morgan","lnp",46
1980-03-12,"F2F Morgan","alp",45
1980-03-12,"F2F Morgan","oth",9
1980-03-26,"F2F Morgan","lnp",47
1980-03-26,"F2F Morgan","alp",45
1980-03-26,"F2F Morgan","oth",8
1980-04-09,"F2F Morgan","lnp",46
1980-04-09,"F2F Morgan","alp",45
1980-04-09,"F2F Morgan","oth",9
1980-04-23,"F2F Morgan","lnp",45
1980-04-23,"F2F Morgan","alp",44
1980-04-23,"F2F Morgan","oth",11
1980-05-07,"F2F Morgan","lnp",45
1980-05-07,"F2F Morgan","alp",46
1980-05-07,"F2F Morgan","oth",9
1980-06-04,"F2F Morgan","lnp",46
1980-06-04,"F2F Morgan","alp",45
1980-06-04,"F2F Morgan","oth",9
1980-06-18,"F2F Morgan","lnp",44
1980-06-18,"F2F Morgan","alp",45
1980-06-18,"F2F Morgan","oth",11
1980-07-02,"F2F Morgan","lnp",47
1980-07-02,"F2F Morgan","alp",45
1980-07-02,"F2F Morgan","oth",8
1980-07-16,"F2F Morgan","lnp",46
1980-07-16,"F2F Morgan","alp",46
1980-07-16,"F2F Morgan","oth",7
1980-07-30,"F2F Morgan","lnp",43
1980-07-30,"F2F Morgan","alp",49
1980-07-30,"F2F Morgan","oth",8
1980-08-13,"F2F Morgan","lnp",46
1980-08-13,"F2F Morgan","alp",45
1980-08-13,"F2F Morgan","oth",9
1980-09-21,"F2F Morgan","lnp",44
1980-09-21,"F2F Morgan","alp",47
1980-09-21,"F2F Morgan","oth",9
1980-09-28,"F2F Morgan","lnp",43
1980-09-28,"F2F Morgan","alp",50
1980-09-28,"F2F Morgan","oth",7
1980-10-05,"F2F Morgan","lnp",43
1980-10-05,"F2F Morgan","alp",49
1980-10-05,"F2F Morgan","oth",8
1984-12-12,"F2F Morgan","lnp",43
1984-12-12,"F2F Morgan","alp",49
