"first_pref","age_group","gender","education","division","state","tpp_imputed"
"LNP","ages45to59","Male","postgraduateDegree","Page","NSW","LNP"
"GRN","ages45to59","Female","highSchoolorCertIorIIorLess","Richmond","NSW","ALP"
"GRN","ages30to44","Female","gradDipDipCertIIIandIV","Cowper","NSW","ALP"
"ALP","ages45to59","Male","bachelorDegree","Page","NSW","ALP"
"LNP","ages45to59","Male","highSchoolorCertIorIIorLess","Page","NSW","LNP"
"Unsure","ages18to29","Female","highSchoolorCertIorIIorLess","Cowper","NSW","LNP"
"Other","ages45to59","Female","gradDipDipCertIIIandIV","Cowper","NSW","LNP"
"GRN","ages18to29","Female","bachelorDegree","Cowper","NSW","ALP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Page","NSW","LNP"
"Unsure","ages45to59","Female","highSchoolorCertIorIIorLess","Capricornia","QLD","ALP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Richmond","NSW","ALP"
"ALP","ages45to59","Female","bachelorDegree","Richmond","NSW","ALP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Richmond","NSW","LNP"
"LNP","ages60plus","Female","bachelorDegree","Richmond","NSW","LNP"
"ALP","ages30to44","Male","bachelorDegree","Page","NSW","ALP"
"ALP","ages18to29","Female","bachelorDegree","New England","NSW","ALP"
"Other","ages30to44","Female","gradDipDipCertIIIandIV","New England","NSW","LNP"
"LNP","ages60plus","Female","highSchoolorCertIorIIorLess","New England","NSW","LNP"
"ALP","ages45to59","Male","highSchoolorCertIorIIorLess","Calare","NSW","ALP"
"Other","ages45to59","Male","highSchoolorCertIorIIorLess","Riverina","NSW","ALP"
"LNP","ages60plus","Female","bachelorDegree","Riverina","NSW","LNP"
"LNP","ages45to59","Female","bachelorDegree","Riverina","NSW","LNP"
"ALP","ages45to59","Male","highSchoolorCertIorIIorLess","Riverina","NSW","ALP"
"GRN","ages30to44","Female","bachelorDegree","Grayndler","NSW","ALP"
"ALP","ages30to44","Male","gradDipDipCertIIIandIV","Warringah","NSW","ALP"
"ALP","ages30to44","Male","gradDipDipCertIIIandIV","Blaxland","NSW","ALP"
"LNP","ages18to29","Female","highSchoolorCertIorIIorLess","Parramatta","NSW","LNP"
"LNP","ages30to44","Male","postgraduateDegree","North Sydney","NSW","LNP"
"GRN","ages45to59","Female","highSchoolorCertIorIIorLess","Bradfield","NSW","ALP"
"Other","ages30to44","Male","highSchoolorCertIorIIorLess","Wentworth","NSW","LNP"
"LNP","ages60plus","Female","postgraduateDegree","Kingsford Smith","NSW","LNP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Kingsford Smith","NSW","LNP"
"LNP","ages45to59","Male","postgraduateDegree","North Sydney","NSW","LNP"
"LNP","ages60plus","Female","bachelorDegree","Bradfield","NSW","LNP"
"Other","ages45to59","Female","postgraduateDegree","Bennelong","NSW","LNP"
"LNP","ages45to59","Male","postgraduateDegree","Mackellar","NSW","LNP"
"ALP","ages60plus","Female","gradDipDipCertIIIandIV","Berowra","NSW","ALP"
"GRN","ages30to44","Female","gradDipDipCertIIIandIV","Berowra","NSW","ALP"
"ALP","ages45to59","Male","gradDipDipCertIIIandIV","Bradfield","NSW","ALP"
"ALP","ages18to29","Female","postgraduateDegree","Sydney","NSW","ALP"
"GRN","ages30to44","Female","postgraduateDegree","Grayndler","NSW","ALP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Hughes","NSW","LNP"
"LNP","ages45to59","Male","highSchoolorCertIorIIorLess","Hughes","NSW","LNP"
"ALP","ages60plus","Male","highSchoolorCertIorIIorLess","Banks","NSW","ALP"
"LNP","ages30to44","Male","highSchoolorCertIorIIorLess","Hughes","NSW","LNP"
"ALP","ages30to44","Female","highSchoolorCertIorIIorLess","Cook","NSW","ALP"
"ALP","ages30to44","Female","gradDipDipCertIIIandIV","Barton","NSW","ALP"
"ALP","ages30to44","Male","postgraduateDegree","Grayndler","NSW","ALP"
"LNP","ages45to59","Female","highSchoolorCertIorIIorLess","Barton","NSW","LNP"
"ALP","ages18to29","Female","postgraduateDegree","Cook","NSW","ALP"
"LNP","ages60plus","Male","highSchoolorCertIorIIorLess","Fowler","NSW","LNP"
"LNP","ages45to59","Male","highSchoolorCertIorIIorLess","Chifley","NSW","LNP"
"ALP","ages30to44","Male","highSchoolorCertIorIIorLess","Richmond","NSW","ALP"
"GRN","ages45to59","Female","highSchoolorCertIorIIorLess","Mitchell","NSW","ALP"
"LNP","ages60plus","Female","highSchoolorCertIorIIorLess","Mitchell","NSW","LNP"
"Other","ages45to59","Male","highSchoolorCertIorIIorLess","Parramatta","NSW","LNP"
"ALP","ages45to59","Male","bachelorDegree","McMahon","NSW","ALP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Shortland","NSW","LNP"
"ALP","ages30to44","Female","highSchoolorCertIorIIorLess","Mitchell","NSW","ALP"
"ALP","ages45to59","Female","gradDipDipCertIIIandIV","Mitchell","NSW","ALP"
"LNP","ages30to44","Male","highSchoolorCertIorIIorLess","Mitchell","NSW","LNP"
"LNP","ages30to44","Male","postgraduateDegree","Mitchell","NSW","LNP"
"LNP","ages30to44","Female","highSchoolorCertIorIIorLess","Reid","NSW","LNP"
"Other","ages45to59","Female","highSchoolorCertIorIIorLess","Banks","NSW","ALP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Dobell","NSW","LNP"
"ALP","ages60plus","Female","postgraduateDegree","Reid","NSW","ALP"
"GRN","ages18to29","Female","postgraduateDegree","Bennelong","NSW","LNP"
"Unsure","ages45to59","Female","highSchoolorCertIorIIorLess","McMahon","NSW","LNP"
"ALP","ages45to59","Male","bachelorDegree","Bennelong","NSW","ALP"
"LNP","ages30to44","Male","gradDipDipCertIIIandIV","Bennelong","NSW","LNP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Parramatta","NSW","ALP"
"LNP","ages30to44","Female","highSchoolorCertIorIIorLess","Berowra","NSW","LNP"
"Other","ages18to29","Male","highSchoolorCertIorIIorLess","Warringah","NSW","LNP"
"LNP","ages45to59","Female","gradDipDipCertIIIandIV","Warringah","NSW","LNP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Warringah","NSW","LNP"
"LNP","ages45to59","Female","gradDipDipCertIIIandIV","Mackellar","NSW","LNP"
"Other","ages45to59","Male","highSchoolorCertIorIIorLess","North Sydney","NSW","ALP"
"LNP","ages30to44","Female","highSchoolorCertIorIIorLess","Mackellar","NSW","LNP"
"ALP","ages18to29","Female","highSchoolorCertIorIIorLess","La Trobe","VIC","ALP"
"LNP","ages60plus","Male","highSchoolorCertIorIIorLess","Monash","VIC","LNP"
"ALP","ages60plus","Male","bachelorDegree","Gippsland","VIC","ALP"
"Other","ages45to59","Male","highSchoolorCertIorIIorLess","Gippsland","VIC","LNP"
"GRN","ages30to44","Female","bachelorDegree","Gippsland","VIC","ALP"
"ALP","ages45to59","Female","gradDipDipCertIIIandIV","Corio","VIC","ALP"
"ALP","ages45to59","Male","gradDipDipCertIIIandIV","Corio","VIC","ALP"
"LNP","ages30to44","Female","gradDipDipCertIIIandIV","Corio","VIC","LNP"
"LNP","ages60plus","Male","highSchoolorCertIorIIorLess","Corangamite","VIC","LNP"
